Time,Message ID,Initial Ammonia Concentration,Initial Hydrogen Sulfide Concentration,Maximum Pressure,Volumetric Flow Rate,Cost Per Gram (Copper Sulfate),Cost Per Gram (Ammonia),Cost Per Gram (Sulfuric Acid),Cost Per Kilowatt Hour,Number of Chemical Analyzers,Volumetric Flow Rate,Hydrogen Sulfide Concentration,Ammonia Concentration,Water Concentration,Max Applied Pressure,Concentration of Hydrogen Sulfide (leaving CSTR),Concentration of Ammonia (leaving CSTR),Concentration of Hydrogen Sulfide (leaving SSU),Concentration of Ammonia (leaving SUU),Final Concentration of Hydrogen Sulfide,Final Concentration of Ammonia,Final Concentration of Water,Power Consumption (KhW/s),Clean Water Production Percentage,Current Cost Of Power Per Second,Current Cost Of Chemicals Per Second,Current Segment Cost Per Liter,Grams CuS,Grams NH3,Grams H2SO4,NGSWAT-100,NGSWAT-200,NGSWAT-300,NGSWAT-400,Simulation Ticks,Segment Ticks,Segment Liters Treated,Segment Cost,Max Hydrogen Sulfide Concentration,Min Hydrogen Sulfide Concentration,Max Ammonia Concentration,Min Ammonia Concentration,Max Clean Water Percentage,Min Clean Water Percentage,Max Cost Per Liter,Min Cost Per Liter,Total Cost,Total Liters Treated,Average Cost Per Liter,Average Hydrogen Sulfide Concentration,Average Ammonia Concentration,Average Clean Water Percentage
4/14/2017 8:59,Simulation Tick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,28,8820,248.45,0.00E+00,0.00E+00,1.20E-10,1.20E-10,97.814618,97.808376,0.0282,0.0281,248.45,8820,0.0282,0.00E+00,1.20E-10,97.811705
4/14/2017 8:59,System Status Message,,,,,,,,,,315.45,0,11995.91,988004.09,70000,0,0.01199591,0,1.20E-06,0.00E+00,1.20E-10,1000000,0.052777778,97.81253694,0.006333333,8.869391949,8.87,0,0,10896.0589,PASS,PASS,PASS,PASS,,,,,,,,,,,,,,,,,,
4/14/2017 8:59,Simulation Tick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,29,9135,257.32,0.00E+00,0.00E+00,1.20E-10,1.20E-10,97.814618,97.808376,0.0282,0.0281,257.32,9135,0.0282,0.00E+00,1.20E-10,97.811734
4/14/2017 8:59,System Status Message,,,,,,,,,,315.45,0,11998.8,988001.2,70000,0,0.0119988,0,1.20E-06,0.00E+00,1.20E-10,1000000,0.052777778,97.81201626,0.006333333,8.871532138,8.87,0,0,10898.6881,PASS,PASS,PASS,PASS,,,,,,,,,,,,,,,,,,
4/14/2017 8:59,Simulation Tick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,30,9450,266.19,0.00E+00,0.00E+00,1.20E-10,1.20E-10,97.814618,97.808376,0.0282,0.0281,266.19,9450,0.0282,0.00E+00,1.20E-10,97.811743
4/14/2017 8:59,System Status Message,,,,,,,,,,315.45,0,11994.21,988005.79,70000,0,0.01199421,0,1.20E-06,0.00E+00,1.20E-10,1000000,0.052777778,97.81284259,0.006333333,8.86813557,8.87,0,0,10894.5154,PASS,PASS,PASS,PASS,,,,,,,,,,,,,,,,,,
4/14/2017 8:59,Simulation Tick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,31,9765,275.06,0.00E+00,0.00E+00,1.20E-10,1.20E-10,97.814618,97.808376,0.0282,0.0281,275.06,9765,0.0282,0.00E+00,1.20E-10,97.811779
4/14/2017 8:59,System Status Message,,,,,,,,,,315.45,0,12002.94,987997.06,70000,0,0.01200294,0,1.20E-06,0.00E+00,1.20E-10,1000000,0.052777778,97.81127164,0.006333333,8.874592901,8.87,0,0,10902.4483,PASS,PASS,PASS,PASS,,,,,,,,,,,,,,,,,,
4/14/2017 8:59,Simulation Tick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,32,10080,283.93,0.00E+00,0.00E+00,1.20E-10,1.20E-10,97.814618,97.808376,0.0282,0.0281,283.93,10080,0.0282,0.00E+00,1.20E-10,97.811763
4/14/2017 8:59,System Status Message,,,,,,,,,,315.45,0,12008.22,987991.78,70000,0,0.01200822,0,1.20E-06,0.00E+00,1.20E-10,1000000,0.052777778,97.81032264,0.006333333,8.878493773,8.88,0,0,10907.2405,PASS,PASS,PASS,PASS,,,,,,,,,,,,,,,,,,
4/14/2017 8:59,Simulation Tick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,33,10395,292.81,0.00E+00,0.00E+00,1.20E-10,1.20E-10,97.814618,97.808376,0.0282,0.0281,292.81,10395,0.0282,0.00E+00,1.20E-10,97.811719
4/14/2017 8:59,System Status Message,,,,,,,,,,315.45,0,11992.06,988007.94,70000,0,0.01199206,0,1.20E-06,0.00E+00,1.20E-10,1000000,0.052777778,97.8132278,0.006333333,8.866552201,8.87,0,0,10892.5703,PASS,PASS,PASS,PASS,,,,,,,,,,,,,,,,,,
4/14/2017 8:59,Simulation Tick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,34,10710,301.68,0.00E+00,0.00E+00,1.20E-10,1.20E-10,97.814618,97.808376,0.0282,0.0281,301.68,10710,0.0282,0.00E+00,1.20E-10,97.811764
4/14/2017 8:59,System Status Message,,,,,,,,,,315.45,0,11994.35,988005.65,70000,0,0.01199435,0,1.20E-06,0.00E+00,1.20E-10,1000000,0.052777778,97.81281629,0.006333333,8.868243675,8.87,0,0,10894.6482,PASS,PASS,PASS,PASS,,,,,,,,,,,,,,,,,,
4/14/2017 8:59,Simulation Tick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,35,11025,310.55,0.00E+00,0.00E+00,1.20E-10,1.20E-10,97.814618,97.808376,0.0282,0.0281,310.55,11025,0.0282,0.00E+00,1.20E-10,97.811794
4/14/2017 8:59,System Status Message,,,,,,,,,,315.45,0,11996.72,988003.28,70000,0,0.01199672,0,1.20E-06,0.00E+00,1.20E-10,1000000,0.052777778,97.8123895,0.006333333,8.869997972,8.87,0,0,10896.8034,PASS,PASS,PASS,PASS,,,,,,,,,,,,,,,,,,
4/14/2017 8:59,Simulation Tick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,36,11340,319.42,0.00E+00,0.00E+00,1.20E-10,1.20E-10,97.814618,97.808376,0.0282,0.0281,319.42,11340,0.0282,0.00E+00,1.20E-10,97.81181
